Tissue,Average_RMA,Transporter
seminal vesicle,9.203025,SLC22A5
kidney,8.085485405,SLC22A5
heart,7.12336,SLC22A5
prostate gland,6.564287126,SLC22A5
placenta,6.410801311,SLC22A5
colon,6.154765556,SLC22A5
urinary bladder,5.7648065,SLC22A5
adrenal gland,5.570405,SLC22A5
thyroid gland,5.478666786,SLC22A5
testis,5.103272439,SLC22A5
stomach,4.51907625,SLC22A5
skin,4.291069206,SLC22A5
pancreas,4.162384091,SLC22A5
brain,3.976259275,SLC22A5
lung,3.946256429,SLC22A5
prefrontal cortex,3.619672083,SLC22A5
spinal cord,3.612083158,SLC22A5
myometrium,3.213292419,SLC22A5
spleen,3.171378148,SLC22A5
uterus,3.063628333,SLC22A5
salivary gland,3.024268333,SLC22A5
hair follicle,2.996882917,SLC22A5
aorta,2.94208,SLC22A5
cerebral cortex,2.843168667,SLC22A5
liver,2.799334554,SLC22A5
tonsil,2.45760375,SLC22A5
cardia,2.36627,SLC22A5
spermatozoon,2.366234,SLC22A5
esophagus,2.3557825,SLC22A5
uterine cervix,2.331922143,SLC22A5
lymph node,2.32261,SLC22A5
cervical epithelium,2.302668636,SLC22A5
pancreatic islet,2.28691,SLC22A5
kidney,5.791907222,SLC22A4
heart,5.758404,SLC22A4
prostate gland,4.998045059,SLC22A4
skin,4.546933598,SLC22A4
colon,4.237738611,SLC22A4
lung,4.038355461,SLC22A4
spinal cord,4.000271765,SLC22A4
seminal vesicle,3.9526975,SLC22A4
myometrium,3.832030645,SLC22A4
spleen,3.6366352,SLC22A4
placenta,3.500667049,SLC22A4
urinary bladder,3.334522,SLC22A4
adrenal gland,3.283804,SLC22A4
stomach,2.9844525,SLC22A4
prefrontal cortex,2.970227625,SLC22A4
testis,2.888756341,SLC22A4
pancreas,2.84796,SLC22A4
liver,2.813341515,SLC22A4
brain,2.614714925,SLC22A4
spermatozoon,2.32872,SLC22A4
cardia,2.31909,SLC22A4
esophagus,2.31909,SLC22A4
aorta,2.31909,SLC22A4
hair follicle,2.310950417,SLC22A4
cerebral cortex,2.300548,SLC22A4
lymph node,2.299196667,SLC22A4
salivary gland,2.295303333,SLC22A4
thyroid gland,2.286663214,SLC22A4
pancreatic islet,2.28635,SLC22A4
uterine cervix,2.280125714,SLC22A4
tonsil,2.2798025,SLC22A4
cervical epithelium,2.26015,SLC22A4
uterus,2.228416667,SLC22A4
liver,11.38212515,SLC22A1
heart,5.240783333,SLC22A1
kidney,3.415316111,SLC22A1
spermatozoon,3.096529,SLC22A1
prefrontal cortex,3.033917969,SLC22A1
adrenal gland,2.907798,SLC22A1
pancreas,2.7250515,SLC22A1
spleen,2.681706,SLC22A1
prostate gland,2.665096588,SLC22A1
stomach,2.64585125,SLC22A1
aorta,2.6277775,SLC22A1
skin,2.613665661,SLC22A1
lung,2.578303816,SLC22A1
spinal cord,2.527341176,SLC22A1
uterus,2.479203333,SLC22A1
thyroid gland,2.473152143,SLC22A1
salivary gland,2.422756667,SLC22A1
lymph node,2.401873333,SLC22A1
brain,2.382502388,SLC22A1
cerebral cortex,2.376038,SLC22A1
cardia,2.361773333,SLC22A1
uterine cervix,2.352157857,SLC22A1
pancreatic islet,2.341204286,SLC22A1
colon,2.335789444,SLC22A1
tonsil,2.33159625,SLC22A1
myometrium,2.328597581,SLC22A1
cervical epithelium,2.325507727,SLC22A1
hair follicle,2.3234175,SLC22A1
esophagus,2.3216,SLC22A1
placenta,2.311205246,SLC22A1
testis,2.264423902,SLC22A1
urinary bladder,2.2488365,SLC22A1
seminal vesicle,2.2194625,SLC22A1
seminal vesicle,9.19062,SLC22A3
salivary gland,6.739235,SLC22A3
aorta,6.55433,SLC22A3
prostate gland,6.083358,SLC22A3
adrenal gland,6.045111,SLC22A3
liver,5.982934747,SLC22A3
placenta,5.738847377,SLC22A3
skin,5.608005714,SLC22A3
lung,4.746307171,SLC22A3
heart,4.360404,SLC22A3
myometrium,4.046188065,SLC22A3
pancreas,3.780855,SLC22A3
urinary bladder,3.5704045,SLC22A3
colon,3.248635278,SLC22A3
lymph node,3.231846667,SLC22A3
testis,3.212767805,SLC22A3
prefrontal cortex,3.022726398,SLC22A3
spinal cord,2.762577059,SLC22A3
kidney,2.752874583,SLC22A3
stomach,2.704715,SLC22A3
cardia,2.691363333,SLC22A3
uterine cervix,2.612485714,SLC22A3
uterus,2.60821,SLC22A3
esophagus,2.51899,SLC22A3
spleen,2.4701528,SLC22A3
tonsil,2.446775,SLC22A3
spermatozoon,2.32872,SLC22A3
hair follicle,2.314758333,SLC22A3
thyroid gland,2.306588214,SLC22A3
brain,2.301389552,SLC22A3
cervical epithelium,2.294452727,SLC22A3
pancreatic islet,2.28635,SLC22A3
cerebral cortex,2.263379333,SLC22A3
kidney,9.3668025,SLC22A2
heart,4.516404,SLC22A2
adrenal gland,2.775359,SLC22A2
prefrontal cortex,2.764454368,SLC22A2
skin,2.599853704,SLC22A2
uterine cervix,2.565454286,SLC22A2
stomach,2.5307025,SLC22A2
myometrium,2.502555161,SLC22A2
pancreas,2.4963315,SLC22A2
spinal cord,2.493165294,SLC22A2
colon,2.422989444,SLC22A2
hair follicle,2.338764167,SLC22A2
cardia,2.330323333,SLC22A2
spermatozoon,2.32872,SLC22A2
esophagus,2.31909,SLC22A2
aorta,2.31909,SLC22A2
testis,2.31806439,SLC22A2
lymph node,2.299196667,SLC22A2
brain,2.298480597,SLC22A2
salivary gland,2.295303333,SLC22A2
liver,2.290133838,SLC22A2
pancreatic islet,2.28635,SLC22A2
