type,properties.generic.name
DrugBank,Allopurinol
DrugBank,Aminohippuric acid
DrugBank,Bumetanide
DrugBank,Cefalotin
DrugBank,Cefamandole
DrugBank,Cefoperazone
DrugBank,Cefotaxime
DrugBank,Cholic Acid
DrugBank,Cimetidine
DrugBank,Clarithromycin
DrugBank,Cyclic adenosine monophosphate
DrugBank,Dinoprost tromethamine
DrugBank,Dinoprostone
DrugBank,Docetaxel
DrugBank,Enalapril
DrugBank,Fluorouracil
DrugBank,Ganciclovir
DrugBank,Glutaric Acid
DrugBank,Glyburide
DrugBank,Indomethacin
DrugBank,Ketoprofen
DrugBank,Methotrexate
DrugBank,Minocycline
DrugBank,Oxtriphylline
DrugBank,Oxytetracycline
DrugBank,Pravastatin
DrugBank,Probenecid
DrugBank,Rifampicin
DrugBank,Salicylic acid
DrugBank,Tegafur-uracil
DrugBank,Testosterone
DrugBank,Testosterone cypionate
DrugBank,Testosterone enanthate
DrugBank,Testosterone undecanoate
DrugBank,Tetracycline
DrugBank,Theophylline
DrugBank,Valproic acid
DrugBank,Zalcitabine
DrugBank,Zidovudine
